brokerage_id	name	entries	tp_sum	tevo_sum
1 TD		12	14378	
10 TD		1	100	
10091		10	49	
10130		6	10	
10182		2	8	
102		1	130	
10231		39	159	
103		1	298	
106		1	119	
106 SRO		1	622	
10710		6	18	
10734		1	1	
10902		19	94	
11 TD		1	169	
111		1	450	
114		2	1000	
115		3	874	
11550		1	6	
116		1	418	
118		1	495	
119		3	706	
120		1	343	
1275		1	2	
13 Field		1	2319	
1316		3	17	
132		2	535	
133		3	815	
135		6	2021	
136		1	124	
139		1	117	
140		1	450	
141		1	118	
1417		5	15	
1424		1	4	
143		1	144	
1443		18	126	
1493		35	252	
1494		1	4	
151		1	49	
152		2	595	
153		2	325	
154		2	412	
16		1	1050	
163		2	194	
1642		15	87	
1653		1	4	
1683		1	1	
1688		30	84	
1728		1	1	
1731		1	4	
1777		8	8	
1802		10	64	
1879		2	7	
1900		3	10	
1908		14	44	
1916		1	2	
1917		12	54	
1920		5	19	
1962		3	14	
2 TD		6	1260	
2001		1	2	
2007		4	14	
201		1	121	
220		1	2	
2230		1	2	
224		1	695	
227A		1	335	
233B		1	350	
2349		2	4	
2358		25	138	
239		1	219	
2453		2	5	
2501		4	16	
2538		4	6	
2556		1	8	
2568		4	17	
2584		17	24	
268		1	99	
269		1	106	
29 Field		9	17991	
29 UR		2	328	
3		6	24	
301		1	150	
303		1	80	
305		3	724	
307		2	295	
309		4	2130	
311		2	255	
312		1	260	
320B		1	679	
329		11	4681	
331		4	2260	
333		2	202	
337		1	135	
350		2	268	
363		2	245	
369		1	81	
371		1	85	
38		1	339	
39 LR		10	4243	
4 TD		2	254	
406		3	511	
407a		1	190	
408		1	79	
409		1	95	
41 Field		1	1157	
411		1	110	
414		1	350	
415		4	617	
416		4	1152	
418		2	440	
419		1	98	
420		2	419	
420B		1	177	
421		1	106	
422		1	205	
427		3	665	
429		1	179	
43 LR		4	580	
430		5	945	
431		6	1840	
431A		1	140	
432		2	186	
434		2	180	
434B		1	250	
442		1	115	
444		1	110	
45 Field		1	115	
45 UR		2	590	
46 UR		2	555	
47 LR		1	49	
48 LR		1	139	
49 UR		1	49	
5 TD		3	429	
50 UR		2	159	
51 LR		3	305	
55 LR		1	124	
551		7	21	
553		1	4	
60 LR		2	569	
7 IR		2	310	
7 TD		1	120	
803		24	44	
9030		1	2	
9052		6	18	
9079		24	48	
9092		8	16	
9116		3	7	
9163		1	2	
9197		8	24	
9200		3	3	
9220		13	26	
9229		1	6	
9231		1	4	
9295		3	18	
9335		47	179	
9343		19	65	
9352		4	22	
9386		4	16	
9406		1	1	
9407		46	116	
9441		31	97	
9452		14	14	
9461		2376	14099	
9484		1	1	
9612		1	2	
9778		4	8	
9837		1	4	
9845		14	78	
9857		3	8	
9921		1	2	
994		1	2	
All You Can Eat Pavilion 308		2	300	
All You Can Eat Pavilion 310		2	286	
All You Can Eat Pavilion 312		3	418	
NA		1	110	
Parking .1 miles from venue		3	418	
Parking .2 miles from venue		2	104	
Parking .3 miles from venue		2	117	
Parking .5 miles from venue		5	340	
SRO		1	75	
STE		1	590	
9217	1Clicktix	1	4	4
9347	3Bros Tickets	5	26	26
10053	714Tickets.com	9	58	58
404	AJ Tickets	44	192	129
89	ASC Ticket Company	90	355	351
1851	Aaron Lowinger Ticketing LLC	222	1320	1320
9068	Above & Beyond Tickets, Inc	2	5	5
117	Above All Tickets Inc.	2	7	7
9396	Advanced Tickets TX	25	86	86
753	Al Brooks Tickets	6	21	21
9351	All The Rage Tickets	4	12	12
69	Allstar Tickets	19	50	46
9710	Alpha Tickets, Inc.	3	14	14
1553	Amy Lewis	4	14	12
9237	Anytickets.com	41	167	159
1367	Avrah Tickets, Inc	3	15	15
526	Bakersan Ticket Service	2	12	12
10860	Barry's Ticket Service	34	118	102
9906	Ben Hicks	2	12	12
2580	Besa Tickets	2	9	9
9088	Best Entertainment Group	3	6	2
403	Best Tickets	9	29	22
181	Big Dog Tickets	15	70	68
218	Big League Events	30	90	4
1319	Big League Tickets Inc	2	16	16
1056	Big Town Tickets	302	1240	1228
10754	Bly Ticket Group	1	6	6
9936	Bradley Cohen	1	4	4
11279	Bullpen Boys	4	15	15
2472	CSL Commerce LLC	9	33	33
265	Cali Tickets	4	8	8
1992	Capital-S INC	22	74	74
234	CenTexTickets.com	10	207	11
1107	Champion Tickets LLC	207	586	586
755	Cheap Seat Tickets LLC	3	23	23
246	Choice Tickets - Tampa	15	68	38
713	Clown Posse 2	5	27	24
1002	Club Level Enterprises	1	3	3
2288	Crosstown Ticket	2	6	6
460	DT Tickets	9	38	38
56	DTI Management	804	3586	3482
2388	Day of Game Tickets	704	2791	1302
170	Denver Ticket Company	1	2	2
43	Down in Front Tickets	51	157	157
413	Downtown Tickets	138	419	352
1248	Drews Tickets	107	297	258
2249	Dude Enterprises Inc	76	400	400
9382	EBG Premium Experience	16	58	30
1596	Elli Tix	5	16	14
10379	Encore Tickets-MD	8	33	33
9473	Eric Hunter Bankston	1	2	2
9325	Eventellect	8269	59844	54702
910	Excellent Tickets	26	105	105
9071	Executive Sports & Entertainment LLC	3	10	8
2586	Falcon Affiliates	38	137	109
417	Fanfare Tickets	3	12	12
1258	Fat Cat Equity	11	34	34
205	First Class Tickets - CA	11	37	37
98	First Fan Tickets	88	340	338
9261	FishTix INC.	3	22	18
1090	Free Tic Sales	3	6	6
10071	FronTickets	2	4	4
10958	Front Row Tickets-AZ	3	27	27
9122	Frontgate Seats	35	179	93
1280	Fuse Tickets	2	6	6
9806	Game Plan Sports & Entertainment LLC	4	14	14
9339	Geneva Escutia	3	4	4
10963	Global Event Group	4	9	8
10120	Gold Coast Tickets	3	10	4
203	Goody Tickets LLC	393	1505	624
1602	Grand Concierge LLC	8	30	14
34	Great Seats NY	65	250	81
2003	Green Diamond Group LLC	11	18	18
10878	Greenline Consulting Services Inc.	140	564	559
527	HMR Tickets	8	34	34
433	Haller Tickets	38	625	68
1360	Herman Agar Company	11	32	18
