name	tp_sum	tevo_sum
1Clicktix	12	14
3Bros Tickets	208	185
714Tickets.com	580	558
AJ Tickets	5568	5676
ASC Ticket Company	55025	50400
Aaron Lowinger Ticketing LLC	397320	352980
Above & Beyond Tickets, Inc	15	16
Above All Tickets Inc.	49	50
Advanced Tickets TX	2752	2750
Al Brooks Tickets	357	312
All The Rage Tickets	72	72
Allstar Tickets	1000	1083
Alpha Tickets, Inc.	42	42
Amy Lewis	42	48
Anytickets.com	6680	6560
Avrah Tickets, Inc	45	45
Bakersan Ticket Service	48	48
Barry's Ticket Service	5664	5508
Ben Hicks	24	24
Besa Tickets	18	18
Best Entertainment Group	36	51
Best Tickets	203	198
Big Dog Tickets	1190	1200
Big League Events	630	1020
Big League Tickets Inc	96	64
Big Town Tickets	374480	373876
Bly Ticket Group	48	39
Bradley Cohen	8	8
Bullpen Boys	60	60
CSL Commerce LLC	594	405
Cali Tickets	32	32
Capital-S INC	1628	1628
CenTexTickets.com	621	110
Champion Tickets LLC	174628	181953
Cheap Seat Tickets LLC	69	69
Choice Tickets - Tampa	2856	2940
Clown Posse 2	135	140
Club Level Enterprises	3	3
Crosstown Ticket	42	54
DT Tickets	988	864
DTI Management	4306786	4725108
Day of Game Tickets	1068953	1032064
Denver Ticket Company	2	2
Down in Front Tickets	8792	8823
Downtown Tickets	49442	49956
Drews Tickets	27918	27820
Dude Enterprises Inc	37600	36860
EBG Premium Experience	406	480
Elli Tix	576	735
Encore Tickets-MD	264	264
Eric Hunter Bankston	2	2
Eventellect	468578520	478874328
Excellent Tickets	3150	3198
Executive Sports & Entertainment LLC	40	45
Falcon Affiliates	4110	4142
Fanfare Tickets	60	66
Fat Cat Equity	2176	2794
First Class Tickets - CA	777	561
First Fan Tickets	33320	32560
FishTix INC.	88	72
Free Tic Sales	24	24
FronTickets	8	8
Front Row Tickets-AZ	81	81
Frontgate Seats	8592	9625
Fuse Tickets	12	12
Game Plan Sports & Entertainment LLC	56	56
Geneva Escutia	12	12
Global Event Group	72	96
Gold Coast Tickets	240	348
Goody Tickets LLC	311535	248376
Grand Concierge LLC	360	336
Great Seats NY	5500	5265
Green Diamond Group LLC	1602	1848
Greenline Consulting Services Inc.	90804	89880
HMR Tickets	272	272
Haller Tickets	23750	2888
Herman Agar Company	480	638
Hi Line Seats LLC	240	180
High Vibe Tickets	8	16
Houston Ticket Store	4	4
I NEED TICKETS	120	110
Independent Broker Tickets	8	10
J&A Real Estate Team, Inc	36	36
J.A.J. Executive Services, LLC	329640	329042
JAJ NYC	2754	2704
Jeffrey Jenkins	168	154
JegyTix LLC	24	92
Jock Rock Tickets	12	9
Joe Knows Tickets	3456	3828
Joshua Alan Smith	16	16
K6 Tech LLC	1632	1632
KP3 Endeavors, Inc.	1241593	1240966
