broker_name	remote_id	ticket_section	ticket_row	ticket_count	ticket_price	event_name	event_occurs_at
1Clicktix	117599058	135	DD	4	84.00	ALDS: Houston Astros at Tampa Bay Rays (Game 3 - Home Game 1)	2019-10-07
1Clicktix	117601911	129	EE	4	84.00	ALDS: Houston Astros at Tampa Bay Rays (Game 4 - Home Game 2) (If Necessary)	2019-10-08
1Clicktix	117603251	345	A	6	54.00	ALDS: Houston Astros at Tampa Bay Rays (Game 4 - Home Game 2) (If Necessary)	2019-10-08
3Bros Tickets	85742296	435	7	4	99.87	NLDS: Atlanta Braves at St. Louis Cardinals (Game 3 - Home Game 1)	2019-10-06
3Bros Tickets	85742298	434	10	3	104.07	NLDS: Atlanta Braves at St. Louis Cardinals (Game 3 - Home Game 1)	2019-10-06
3Bros Tickets	86530769	STANDING ROOM ONLY	GA	12	73.62	NLDS: Atlanta Braves at St. Louis Cardinals (Game 3 - Home Game 1)	2019-10-06
3Bros Tickets	86530770	440	11	4	94.62	NLDS: Atlanta Braves at St. Louis Cardinals (Game 3 - Home Game 1)	2019-10-06
3Bros Tickets	86607653	129	WW	3	133.47	ALDS: Houston Astros at Tampa Bay Rays (Game 3 - Home Game 1)	2019-10-07
3Bros Tickets	85742523	435	7	4	82.02	NLDS: Atlanta Braves at St. Louis Cardinals (Game 4 - Home Game 2) (If Necessary)	2019-10-07
3Bros Tickets	85742557	435	9	3	103.95	NLDS: Atlanta Braves at St. Louis Cardinals (Game 4 - Home Game 2) (If Necessary)	2019-10-07
3Bros Tickets	85742584	435	5	4	99.75	NLDS: Atlanta Braves at St. Louis Cardinals (Game 4 - Home Game 2) (If Necessary)	2019-10-07
714Tickets.com	289109840	133	8	4	165.00	NLDS: St. Louis Cardinals at Atlanta Braves (Game 5 - Home Game 3) (If Necessary)	2019-10-09
714Tickets.com	289107154	6FD	K	5	350.00	NLDS: Washington Nationals at Los Angeles Dodgers (Game 5 - Home Game 3) (If Necessary)	2019-10-09
714Tickets.com	289109732	109	11	4	350.00	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
714Tickets.com	289109781	429	3	16	165.00	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
714Tickets.com	289098002	303PL	S	6	175.00	NLCS: TBD at Los Angeles Dodgers (Game 1 - Home Game 1) (If Necessary)	2019-10-11
714Tickets.com	289107155	6FD	K	5	425.00	NLCS: TBD at Los Angeles Dodgers (Game 1 - Home Game 1) (If Necessary)	2019-10-11
714Tickets.com	289098006	301PL	W	6	175.00	NLCS: TBD at Los Angeles Dodgers (Game 2 - Home Game 2) (If Necessary)	2019-10-12
714Tickets.com	289107156	6FD	K	5	450.00	NLCS: TBD at Los Angeles Dodgers (Game 2 - Home Game 2) (If Necessary)	2019-10-12
714Tickets.com	289098003	303PL	R	6	200.00	NLCS: TBD at Los Angeles Dodgers (Game 6 - Home Game 3) (If Necessary)	2019-10-18
714Tickets.com	289107157	6FD	K	5	550.00	NLCS: TBD at Los Angeles Dodgers (Game 6 - Home Game 3) (If Necessary)	2019-10-18
A-1 Tickets	116627966	112	9	2	350.00	ALDS: Tampa Bay Rays at Houston Astros (Game 2 - Home Game 2)	2019-10-05
A-1 Tickets	116745651	A	4	2	320.00	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
A-1 Tickets	116745707	130	7	3	185.00	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
A-1 Tickets	116745740	A	3	6	350.00	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
A-1 Tickets	116745773	118	3	4	350.00	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
A-1 Tickets	116745862	136	7	3	200.00	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
A-1 Tickets	116745884	136	4	3	220.00	ALDS: New York Yankees at Minnesota Twins (Game 3 - Home Game 1)	2019-10-07
