brokerage_id	name	section	row	ticket_price	p	 	compared
9217	1Clicktix	135	DD	84.00	86		1.02
9347	3Bros Tickets	435	7	99.87	113		1.13
9347	3Bros Tickets	129	WW	133.47	152		1.14
9347	3Bros Tickets	434	10	104.07	119		1.14
9347	3Bros Tickets	440	11	94.62	108		1.14
9347	3Bros Tickets	STANDING ROOM ONLY	GA	73.62	84		1.14
10053	714Tickets.com	109	11	350.00	360		1.03
10053	714Tickets.com	301	W	175.00	181		1.03
10053	714Tickets.com	303	R	200.00	206		1.03
10053	714Tickets.com	303	S	175.00	181		1.03
10053	714Tickets.com	429	3	165.00	170		1.03
10053	714Tickets.com	6 Field	K	350.00	360		1.03
10053	714Tickets.com	6 Field	K	425.00	437		1.03
10053	714Tickets.com	6 Field	K	450.00	462		1.03
10053	714Tickets.com	6 Field	K	550.00	565		1.03
404	AJ Tickets	110	29	1900.00	2098		1.1
404	AJ Tickets	110	29	2500.00	2760		1.1
404	AJ Tickets	110	29	4500.00	4968		1.1
404	AJ Tickets	124	15	1600.00	1767		1.1
404	AJ Tickets	124	15	2900.00	3202		1.1
404	AJ Tickets	124	15	3500.00	3864		1.1
404	AJ Tickets	124	15	6000.00	6624		1.1
404	AJ Tickets	134	18	5000.00	5520		1.1
404	AJ Tickets	134	18	825.00	911		1.1
404	AJ Tickets	329	7	625.00	690		1.1
404	AJ Tickets	329	7	680.00	751		1.1
404	AJ Tickets	110	29	240.00	266		1.11
404	AJ Tickets	110	29	520.00	575		1.11
404	AJ Tickets	113	39	240.00	266		1.11
404	AJ Tickets	134	18	180.00	199		1.11
404	AJ Tickets	134	18	275.00	304		1.11
404	AJ Tickets	134	18	279.00	309		1.11
404	AJ Tickets	134	18	795.00	879		1.11
404	AJ Tickets	147	17	170.00	189		1.11
404	AJ Tickets	147	17	192.50	213		1.11
404	AJ Tickets	147	17	785.00	868		1.11
404	AJ Tickets	147	17	790.00	873		1.11
404	AJ Tickets	147	17	995.00	1100		1.11
404	AJ Tickets	329	7	129.00	143		1.11
404	AJ Tickets	329	7	180.00	199		1.11
404	AJ Tickets	329	7	690.00	763		1.11
404	AJ Tickets	147	17	78.00	87		1.12
404	AJ Tickets	329	7	72.50	81		1.12
89	ASC Ticket Company	216	18	352.49	399		1.13
89	ASC Ticket Company	216	18	398.95	451		1.13
89	ASC Ticket Company	216	18	423.19	480		1.13
89	ASC Ticket Company	216	18	478.74	542		1.13
89	ASC Ticket Company	216	18	493.89	559		1.13
89	ASC Ticket Company	216	18	558.53	632		1.13
89	ASC Ticket Company	217	16	378.75	429		1.13
89	ASC Ticket Company	217	20	368.65	417		1.13
89	ASC Ticket Company	217	20	378.75	429		1.13
89	ASC Ticket Company	217	20	442.38	501		1.13
89	ASC Ticket Company	217	20	454.50	515		1.13
89	ASC Ticket Company	217	20	516.11	585		1.13
89	ASC Ticket Company	217	20	530.25	601		1.13
89	ASC Ticket Company	217	21	362.59	411		1.13
89	ASC Ticket Company	217	21	435.31	493		1.13
89	ASC Ticket Company	217	21	508.03	576		1.13
89	ASC Ticket Company	223	16	378.75	429		1.13
89	ASC Ticket Company	226	K	89.89	102		1.13
89	ASC Ticket Company	231	7	251.49	285		1.13
89	ASC Ticket Company	231	7	301.99	342		1.13
89	ASC Ticket Company	231	7	352.49	399		1.13
89	ASC Ticket Company	233	H	99.99	113		1.13
89	ASC Ticket Company	233	J	97.97	111		1.13
89	ASC Ticket Company	235	1	289.87	328		1.13
89	ASC Ticket Company	235	1	338.35	384		1.13
89	ASC Ticket Company	235	2	277.75	315		1.13
89	ASC Ticket Company	235	3	221.19	251		1.13
89	ASC Ticket Company	235	3	265.63	301		1.13
89	ASC Ticket Company	236W	21W	248.46	282		1.13
89	ASC Ticket Company	236W	21W	289.87	328		1.13
89	ASC Ticket Company	239	11	251.49	285		1.13
89	ASC Ticket Company	310	1	295.93	335		1.13
89	ASC Ticket Company	310W	8WC	200.99	228		1.13
89	ASC Ticket Company	310W	8WC	281.79	319		1.13
89	ASC Ticket Company	311	1	221.19	251		1.13
89	ASC Ticket Company	311	1	260.58	295		1.13
89	ASC Ticket Company	311	1	265.63	301		1.13
89	ASC Ticket Company	311	1	304.01	345		1.13
89	ASC Ticket Company	314W	8WC	237.35	269		1.13
89	ASC Ticket Company	314W	8WC	284.82	323		1.13
89	ASC Ticket Company	314W	8WC	332.29	377		1.13
89	ASC Ticket Company	327	8	272.70	309		1.13
89	ASC Ticket Company	327	8	318.15	361		1.13
89	ASC Ticket Company	340	6	175.74	199		1.13
89	ASC Ticket Company	417	2	186.85	212		1.13
89	ASC Ticket Company	428	6	166.65	189		1.13
