name	brokerage_id	section	row	price
1Clicktix		345	A	54.00
3Bros Tickets		435	5	99.75
714Tickets.com		133	8	165.00
ASC Ticket Company		119	J	328.25
Aaron Lowinger Ticketing LLC		333	16	94.34
Above & Beyond Tickets, Inc		132	7	292.00
Above All Tickets Inc.		436	3	108.00
Advanced Tickets TX		105	19	2700.00
Al Brooks Tickets		164LG	L	108.15
All The Rage Tickets		216	18	461.76
Allstar Tickets		406	7	203.30
Anytickets.com		PARKING	LOT A	195.00
Bakersan Ticket Service		310PR	Q	236.55
Barry's Ticket Service		39RS	N	104.00
Best Entertainment Group		420B	3	265.00
Big Dog Tickets		334	1	1775.72
Big League Events		140	CC	95.00
Big League Tickets Inc		424	9	199.00
Big Town Tickets		171	1	222.75
Bly Ticket Group		333	14	82.65
Bradley Cohen		144	16	135.00
CSL Commerce LLC		LOTF	GA	249.48
Champion Tickets LLC		142	BB	104.84
Choice Tickets - Tampa		120	EE	152.00
Clown Posse 2		135	JJ	110.00
Crosstown Ticket		109B	31	80.61
DT Tickets		344	1	83.79
DTI Management		129	Y	116.15
Day of Game Tickets		110	20	243.67
Down in Front Tickets		158	2	175.00
Downtown Tickets		240	10	130.00
Drews Tickets		LOT G	GA1	210.00
Dude Enterprises Inc		312	2	87.00
Elli Tix		309	H	104.00
Eventellect		129	25	210.38
Excellent Tickets		214A	23	262.60
Executive Sports & Entertainment LLC		221A	5	1004.25
Fanfare Tickets		111	23	150.00
Fat Cat Equity		116	FF	220.00
First Class Tickets - CA		LOT D	PARK	707.00
First Fan Tickets		118	23	148.80
FishTix INC.		117	XX	235.00
Free Tic Sales		109	32	176.75
Frontgate Seats		133	9	211.20
Global Event Group		129	19/20	259.12
Gold Coast Tickets		124	19	216.00
Goody Tickets LLC		272	16	124.16
Grand Concierge LLC		110	17	325.00
Green Diamond Group LLC		117	G	341.25
Greenline Consulting Services Inc.		24B	1	1335.36
Haller Tickets		132	3	222.27
Herman Agar Company		218B	10	825.00
Hi Line Seats LLC		448	7	112.00
High Vibe Tickets		420B	14	189.15
Houston Ticket Store		210	11	500.00
I NEED TICKETS		43 res	V	95.00
Independent Broker Tickets		271	12	122.48
J.A.J. Executive Services, LLC		215	10	265.00
JAJ NYC		126	11	330.00
Jeffrey Jenkins		PREFERRED RESERVE 51	L	75.00
JegyTix LLC		432	4	46.00
Jock Rock Tickets		420	5	5000.00
K6 Tech LLC		324	4	294.00
KP3 Endeavors, Inc.		203	8	151.00
Kamakaze Tickets LLC		149	16	130.00
Kevin's Tickets PA		TOP DECK 7	TBD	155.00
Key Investment Group		324	3	144.43
Lavaseats Corp		LOTN	GA	154.50
Live for Today Inc		159	6	241.00
Lone Star SP Productions LLC		127	30	2000.00
M&J Hospitality		121A	14	1080.00
MSMSSLLC		211	15	225.00
MaxTix Inc		111	23	157.00
Mendel Elin		420A	11	136.00
Moonchild Ticket		236	18	233.20
Mustang Pacino Tickets		14	7	284.85
Muzakkir Nana		302	9	140.80
MyRtrmnt, LLC.		132	1	171.24
NDC Group Inc		129	SS	168.90
NRZ Tickets		207	B	218.40
Neversoldout.com		128	2	395.01
Nicos Entertainment		210	11	354.00
No Fee Seats		322	7	844.75
North American Tix		107	4	288.40
PSL Tickets		120	5	199.00
PerfectTix.com		331	10	141.75
Pointman Group		419	8	150.00
Precision Events Group		25	2	7210.00
Premiere Tickets -MN		C LEGENDS CLUB	WC	269.00
Premium Seats USA		DELUXE HOTEL	PACKAGE	4930.00
Prime Time Stubs Inc.		118	K	441.24
Primesport		304	F	88.40
Prominent Ticket Service		105	2	412.00
REPS & Company		309	U	87.77
Ragorp Tickets, LLC		318	5	100.00
Row 2 Tickets		330	16	113.00
S4K Entertainment		135	AA	110.00
Select-A-Ticket		435	8	67.01
Shawn Gault		LOT N	PARKING	677.54
Shawn Weiland		226	3	110.00
Shemaya LLC		428	12	70.00
Shimone Tickets		129	18	555.50
Shutfim2 Inc.		7	C	1500.00
Stagefront Tickets		323	14	83.86
Stars & Stripes Tickets		418	3	189.05
Stub Stack Tickets		103	20	107.80
Stubworld		430	9	126.00
Superior Seats IL 		104	GG	425.00
TMC - IL		333	10	79.00
Taka Tickets		142	20	227.46
Thompson Tickets		315	T	1028.97
Ticket Attendant, LLC		149	DD	80.44
Ticket Boat		318	3	273.00
Ticket King - MN		103	34	118.68
Ticket Ninja LLC		FIELD BOX MVP 8	N	284.48
Ticket Round Up		223	4	416.00
Ticket Solutions-KS		265	6	121.25
Ticket Town-NJ		206	1	357.00
Ticket Vulture		212	3	554.40
Ticket Warehouse-NJ		208	5	178.00
TicketVista Inc.		329	7	90.00
Ticketchamp.com		302	10	229.00
Tickets Need Tickets, LLC		212	1	300.00
Ticketwonders		134	BB	95.00
Total Travel And Tickets		105	11	153.33
Two Kings Tickets		320B	2	610.98
USATickets.com		195	21	76.13
Ultimate Event Tickets		210	14	275.00
Universal Events		232A	6	211.00
Venue Kings		GA	GA3	60.00
VenueLink LLN		STAND	SRO	78.88
Victory Tickets - TX		LOT C VIP	RESERVED	495.00
Wtby Homes LLc		51RS	K	88.40
Yaakov Chase		113	9	182.36
Your Ticket Shop Inc.		LOT F	PARK	624.75
Zvents, Inc.		127R	35	126.26
bKr Group llc		425	7	137.20
