name	brokerage_id	section	row	price
AJ Tickets	404	134	18	5520
ASC Ticket Company	89	233	G	118
Allstar Tickets	69	432A	5	130
Amy Lewis	1553	147	15	57
Anytickets.com	9237	All You Can Eat Pavilion 304	Z	97
Barry's Ticket Service	10860	13 Field	H	297
Best Entertainment Group	9088	11	4	458
Best Tickets	403	106	1	434
Big Dog Tickets	181	204	12	126
Big League Events	218	221B	13	991
Big Town Tickets	1056	330	2	339
CenTexTickets.com	234	3	2	electronic transfer. Seats 13-14. 
Choice Tickets - Tampa	246	117	K	1160
Clown Posse 2	713	420C	1	133
DTI Management	56	LOT K	GA	113
Day of Game Tickets	2388	37 Field	O	3771
Downtown Tickets	413	112	4	959
Drews Tickets	1248	118	24	9690
EBG Premium Experience	9382	224	15	184
Elli Tix	1596	50 UR	FF	49
Eventellect	9325	All You Can Eat Pavilion 308	C	1694
Executive Sports & Entertainment LLC	9071	122	14	391
Falcon Affiliates	2586	131	21	417
First Fan Tickets	98	128	1	247
FishTix INC.	9261	307	1	110
Frontgate Seats	9122	DUGOUT 120	13	1526
Global Event Group	10963	129	20	187
Gold Coast Tickets	10120	237	3	160
Goody Tickets LLC	203	51 LR	J	116
Grand Concierge LLC	1602	431A	7	116
Great Seats NY	34	17B	9	1287
Greenline Consulting Services Inc.	10878	214B	19	173
Haller Tickets	433	15	2	electronic transfer
Herman Agar Company	1360	21B	9	912
I NEED TICKETS	9178	43 LR	V	60
JAJ NYC	9275	236	7	136
Jeffrey Jenkins	1392	1 IR	R	128
JegyTix LLC	1692	43 LR	L	54
Joe Knows Tickets	9065	109	21	553
Key Investment Group	9119	128	18	182
Lavaseats Corp	9135	19 IR	H	98
MAB Entertainment Inc	1700	233	13	92
MSMSSLLC	9210	FIELD BOX MVP 7	S	1306
Max Ticket City	9783	20	8	1526
Muzakkir Nana	2406	35 LR	N	1258
MyRtrmnt, LLC.	1634	308	7	92
NDC Group Inc	9082	109	17	10781
NRZ Tickets	1402	155	23	149
North American Tix	240	107	10	170
Precision Events Group	9365	24A	5	862
Prime Time Stubs Inc.	10838	117A	8	1151
REPS & Company	9255	311	4	325
Ragorp Tickets, LLC	1252	442	7	40
Rolling Seats	9095	114B	2	336
Row 2 Tickets	10268	42 UR	FF	49
Ryan Radenbaugh	9873	47 Field	F	199
S4K Entertainment	9397	417	7	141
SC Entertainment LLC	9206	202	17	1061
Shimone Tickets	407	129	29	160
Smart Entertainment	128	19	2	Seats 9-10. 
Southland Tickets, LLC	464	GA02	GA0	222
Stagefront Tickets	25	INFIELD BOX VALUE 35	K	172
Stubworld	223	164TH ST GARAGE	LOT	57
Taka Tickets	1960	142	20	240
Thompson Tickets	9142	311	4	147
Ticket Boat	109	222	1	334
Ticket City	10138	132	18	222
Ticket King - MN	83	205	1	205
Ticket Round Up	82	215	13	228
Ticket Solutions-KS	129	154	7	503
TicketVista Inc.	9037	120A	15	370
TicketVista Inc.	9013	120A	2	749
Tickets Need Tickets, LLC	9702	209	11	113
Two Kings Tickets	412	320B	2	250
Universal Events	92	311	4	123
VIP Tickets	112	19 Field	K	217
Venue Kings	130	5DG	JJ	1420
VenueLink LLN	9495	LOT T	ORANGE	345
Worldwide Tickets	2	116	7	4560
Wtby Homes LLc	1877	All You Can Eat Pavilion 312	S	78
Your Ticket Shop Inc.	9025	13 Field	O	242
Zvents, Inc.	1700	233	13	92
bKr Group llc	2524	211	18	182
